NSE,E,10350,INE718F01018,EQUITY,,CSLFINANCE,CSL FINANCE LIMITED,CSL Finance,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,0
NSE,E,1038,INE235A01022,EQUITY,,FINCABLES,FINOLEX CABLES LTD,Finolex Cables,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2.782415
NSE,E,10397,INE175A01038,EQUITY,,JISLJALEQS,JAIN IRRIGATION SYSTEMS,Jain Irrigation Systems,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,104,INE932X01026,EQUITY,,SHAREINDIA,SHARE IND. SECURITIES LTD,Share India Securities,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10406,INE395H01011,EQUITY,,STEELCITY,STEEL CITY SECURITIES LTD,Steel City Securities,ES,EQ,1,,,,1,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,E,10407,INE013801027,EQUITY,,KSHITIJPOL,KSHITIJ POLYLINE LIMITED,Kshitij Polyline,ES,EQ,1,,,,1,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,E,1041,INE183A01024,EQUITY,,FINPIPE,FINOLEX INDUSTRIES LTD,Finolex Industries,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,3.032141
NSE,E,10415,INE296G01013,EQUITY,,MUTHOOTCAP,MUTHOOT CAP SERV LTD,Muthoot Capital Services,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10417,INE600Y01019,EQUITY,,DYCL,DYNAMIC CABLES LIMITED,Dynamic Cables,ES,EQ,1,,,,5,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NSE,E,10440,INE326A01037,EQUITY,,LUPIN,LUPIN LIMITED,Lupin,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,4.166667
NSE,E,10447,INE854D01024,EQUITY,,UNITDSPR,UNITED SPIRITS LIMITED,United Spirits,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,4.166667
NSE,E,10453,INE836B01017,EQUITY,,SATIN,SATIN CREDIT NET LTD,Satin Creditcare,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10457,INE034S01021,EQUITY,,ARVSMART,ARVIND SMARTSPACES LTD,Arvind SmartSpaces,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10473,INE211R01019,EQUITY,,POWERMECH,POWER MECH PROJECTS LTD.,Power Mech Projects,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10485,INE207E01023,EQUITY,,RAMRAT,RAM RATNA WIRES LIMITED,Ram Ratna Wires,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,1053,INE516A01017,EQUITY,,UFLEX,UFLEX LIMITED,UFLEX,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10530,INE597I01028,EQUITY,,SHARDAMOTR,SHARDA MOTOR INDS LTD,Sharda Motor,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10557,INE278M01019,EQUITY,,NAVKARCORP,NAVKAR CORPORATION LTD.,Navkar Corporation,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10577,INE001B01026,EQUITY,,KRBL,KRBL LIMITED,KRBL,ES,EQ,1,,,,5,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,3.164557
NSE,E,10578,INE943D01017,EQUITY,,MPSLTD,MPS LIMITED,MPS,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
NSE,E,10579,INE750C01026,EQUITY,,MARKSANS,MARKSANS PHARMA LIMITED,Marksans Pharma,ES,EQ,1,,,,1,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2.53614
NSE,E,10580,INE688A01022,EQUITY,,TCI,TRANSPORT CORPN OF INDIA,Transport Corporation of India,ES,EQ,1,,,,10,NA,Y,Y,N,NA,A,20,20,16,16,0.25,0.25,20,20,16,16,0.25,0.25,99.99,99.99,0.25,0.25,2
